o_free_time,o_num_assignments,a_rest,a_grading,a_pd,r,op_free_time,op_num_assignments,ap_rest,ap_grading,ap_pd,day
1,197,0.4,-0.0,0.6,-1.7944000000000007,5,202,0.4,0.1,0.5,35
5,202,0.4,0.1,0.5,-2.062500000000001,1,216,0.2,0.7,0.1,36
1,216,0.2,0.7,0.1,-1.8274000000000015,5,222,0.1,0.1,0.8,37
5,222,0.1,0.1,0.8,-2.370200000000001,1,231,0.1,0.2,0.7,38
1,231,0.1,0.2,0.7,-2.5253000000000014,5,240,0.5,0.5,-0.0,39
5,240,0.5,0.5,-0.0,-2.447500000000001,3,247,0.2,0.4,0.4,40
3,247,0.2,0.4,0.4,-2.5926000000000013,3,251,0.4,0.1,0.5,41
3,251,0.4,0.1,0.5,-2.922500000000001,5,259,0.0,0.3,0.7,42
5,259,0.0,0.3,0.7,-3.0148000000000015,7,266,0.0,0.8,0.2,43
7,266,0.0,0.8,0.2,-2.7968000000000015,5,273,0.0,0.4,0.6,44
5,273,0.0,0.4,0.6,-2.896400000000001,3,268,0.4,0.4,0.2,45
3,268,0.4,0.4,0.2,-2.902800000000001,3,271,0.5,0.5,0.0,46
3,271,0.5,0.5,0.0,-3.9400000000000013,0,278,0.9,0.1,-0.0,47
0,278,0.9,0.1,-0.0,-3.2705,2,283,0.7,-0.0,0.3,48
2,283,0.7,-0.0,0.3,-3.674700000000001,6,297,0.4,0.4,0.2,49
6,297,0.4,0.4,0.2,-3.712800000000001,5,308,0.2,0.2,0.6,50
5,308,0.2,0.2,0.6,-5.057400000000001,0,318,0.4,0.6,0.0,51
0,318,0.4,0.6,0.0,-3.9600000000000017,5,327,0.4,-0.0,0.6,52
5,327,0.4,-0.0,0.6,-4.484400000000001,2,335,0.0,0.5,0.5,53
2,335,0.0,0.5,0.5,-4.449500000000001,3,345,0.3,0.2,0.5,54
3,345,0.3,0.2,0.5,-5.773500000000002,0,354,0.0,0.2,0.8,55
0,354,0.0,0.2,0.8,-5.007200000000001,4,363,0.7,0.0,0.3,56
4,363,0.7,0.0,0.3,-5.2597000000000005,1,372,0.0,0.8,0.2,57
1,372,0.0,0.8,0.2,-5.095800000000001,7,383,0.8,0.1,0.1,58
7,383,0.8,0.1,0.1,-5.470400000000001,4,387,0.7,0.2,0.1,59
4,387,0.7,0.2,0.1,-5.519900000000002,3,390,0.5,0.3,0.2,60
3,390,0.5,0.3,0.2,-5.703800000000002,6,400,0.4,0.5,0.1,61
6,400,0.4,0.5,0.1,-6.7124000000000015,0,406,0.2,0.3,0.5,62
0,406,0.2,0.3,0.5,-5.8675000000000015,3,408,0.1,0.7,0.2,63
3,408,0.1,0.7,0.2,-5.868300000000002,5,421,0.2,0.6,0.2,64
5,421,0.2,0.6,0.2,-6.003800000000002,2,429,0.4,0.1,0.5,65
2,429,0.4,0.1,0.5,-6.309500000000002,1,430,0.4,0.5,0.1,66
1,430,0.4,0.5,0.1,-6.312400000000002,1,442,0.5,0.0,0.5,67
1,442,0.5,0.0,0.5,-6.814500000000002,5,452,0.2,0.6,0.2,68
5,452,0.2,0.6,0.2,-6.7158000000000015,3,463,0.4,0.5,0.1,69
3,463,0.4,0.5,0.1,-6.709900000000002,3,463,0.3,0.1,0.6,70
3,463,0.3,0.1,0.6,-8.033900000000001,0,466,0.7,0.2,0.1,71
0,466,0.7,0.2,0.1,-7.127900000000001,2,474,0.2,0.4,0.4,72
2,474,0.2,0.4,0.4,-7.266600000000002,2,484,0.2,0.3,0.5,73
2,484,0.2,0.3,0.5,-7.502500000000001,1,493,0.3,0.4,0.3,74
1,493,0.3,0.4,0.3,-7.569700000000002,5,500,0.2,0.2,0.6,75
5,500,0.2,0.2,0.6,-7.883400000000002,1,509,0.8,0.1,0.1,76
1,509,0.8,0.1,0.1,-8.0304,4,515,0.4,0.4,0.2,77
4,515,0.4,0.4,0.2,-8.102800000000002,2,524,0.2,0.5,0.3,78
2,524,0.2,0.5,0.3,-8.1597,7,530,0.1,0.8,0.1,79
7,530,0.1,0.8,0.1,-8.059900000000003,4,538,0.3,-0.0,0.7,80
4,538,0.3,-0.0,0.7,-9.509300000000001,0,537,0.1,0.6,0.3,81
0,537,0.1,0.6,0.3,-8.385700000000002,6,548,0.4,0.2,0.4,82
6,548,0.4,0.2,0.4,-8.735600000000002,2,555,0.3,0.6,0.1,83
2,555,0.3,0.6,0.1,-8.713900000000002,2,567,0.5,0.2,0.3,84
2,567,0.5,0.2,0.3,-9.1217,1,576,0.4,0.5,0.1,85
1,576,0.4,0.5,0.1,-9.072400000000002,7,583,0.7,0.1,0.2,86
7,583,0.7,0.1,0.2,-10.486800000000002,0,592,0.1,0.3,0.6,87
0,592,0.1,0.3,0.6,-10.606900000000001,0,600,0.6,0.3,0.1,88
0,600,0.6,0.3,0.1,-9.743900000000002,2,609,0.3,0.5,0.2,89
2,609,0.3,0.5,0.2,-10.892300000000002,0,622,0.4,0.1,0.5,90
0,622,0.4,0.1,0.5,-10.358500000000001,4,633,0.3,0.7,0.0,91
4,633,0.3,0.7,0.0,-10.149500000000003,7,642,0.6,0.1,0.3,92
7,642,0.6,0.1,0.3,-10.636700000000003,2,649,0.6,0.1,0.3,93
2,649,0.6,0.1,0.3,-11.855200000000002,0,658,0.3,0.7,0.0,94
0,658,0.3,0.7,0.0,-10.635000000000002,2,665,0.4,0.1,0.5,95
2,665,0.4,0.1,0.5,-11.173000000000002,7,674,0.6,0.1,0.3,96
7,674,0.6,0.1,0.3,-12.391700000000002,0,684,0.7,0.1,0.2,97
0,684,0.7,0.1,0.2,-11.480300000000002,5,687,0.9,0.0,0.1,98
5,687,0.9,0.0,0.1,-11.914900000000001,1,705,0.5,0.1,0.4,99
1,705,0.5,0.1,0.4,-12.093600000000002,5,712,0.2,0.6,0.2,100
5,712,0.2,0.6,0.2,-12.039800000000003,7,720,0.3,0.6,0.1,101
7,720,0.3,0.6,0.1,-12.105900000000002,5,727,0.2,0.7,0.1,102
5,727,0.2,0.7,0.1,-11.938400000000003,7,725,0.5,0.1,0.4,103
7,725,0.5,0.1,0.4,-12.143600000000003,6,720,0.2,-0.0,0.8,104
6,720,0.2,-0.0,0.8,-13.409200000000002,0,727,0.1,0.5,0.4,105
0,727,0.1,0.5,0.4,-12.297100000000004,1,733,0.4,0.3,0.3,106
1,733,0.4,0.3,0.3,-12.520700000000003,1,741,0.2,0.3,0.5,107
1,741,0.2,0.3,0.5,-12.667000000000002,7,747,0.3,0.4,0.3,108
7,747,0.3,0.4,0.3,-12.780700000000001,2,756,0.3,0.5,0.2,109
2,756,0.3,0.5,0.2,-12.779800000000002,4,760,0.4,0.0,0.6,110
4,760,0.4,0.0,0.6,-14.229400000000002,0,769,0.4,0.3,0.3,111
0,769,0.4,0.3,0.3,-14.393200000000002,0,783,0.3,0.2,0.5,112
0,783,0.3,0.2,0.5,-14.627500000000003,0,791,0.1,0.4,0.5,113
0,791,0.1,0.4,0.5,-14.796500000000004,0,803,0.2,0.2,0.6,114
0,803,0.2,0.2,0.6,-14.089400000000001,1,813,0.6,0.1,0.3,115
1,813,0.6,0.1,0.3,-14.325700000000001,6,823,0.3,0.5,0.2,116
6,823,0.3,0.5,0.2,-14.402300000000002,5,834,0.5,0.5,0.0,117
5,834,0.5,0.5,0.0,-14.365000000000002,1,835,0.6,0.1,0.3,118
1,835,0.6,0.1,0.3,-14.4892,1,832,0.4,0.3,0.3,119
1,832,0.4,0.3,0.3,-14.664700000000002,2,843,0.6,0.4,-0.0,120
2,843,0.6,0.4,-0.0,-15.736000000000002,0,850,0.4,0.2,0.4,121
0,850,0.4,0.2,0.4,-15.111600000000003,1,863,0.2,0.4,0.4,122
1,863,0.2,0.4,0.4,-15.309600000000003,4,876,0.2,0.3,0.5,123
4,876,0.2,0.3,0.5,-15.611000000000002,7,889,0.6,0.3,0.1,124
7,889,0.6,0.3,0.1,-15.697900000000002,6,895,0.2,0.5,0.3,125
6,895,0.2,0.5,0.3,-15.7322,5,900,0.0,0.0,1.0,126
5,900,0.0,0.0,1.0,-16.004000000000005,7,901,0.6,0.4,0.0,127
7,901,0.6,0.4,0.0,-16.005000000000003,4,911,0.4,-0.0,0.6,128
4,911,0.4,-0.0,0.6,-16.184400000000004,4,910,0.0,0.5,0.5,129
4,910,0.0,0.5,0.5,-16.149500000000003,3,915,0.0,0.4,0.6,130
3,915,0.0,0.4,0.6,-16.305400000000002,1,922,0.2,0.4,0.4,131
1,922,0.2,0.4,0.4,-16.411600000000004,1,929,0.4,0.0,0.6,132
1,929,0.4,0.0,0.6,-17.8094,0,941,0.7,0.2,0.1,133
0,941,0.7,0.2,0.1,-16.989900000000002,5,953,0.2,0.1,0.7,134
5,953,0.2,0.1,0.7,-17.2828,3,962,0.2,-0.0,0.8,135
3,962,0.2,-0.0,0.8,-17.534200000000002,3,971,0.2,0.6,0.2,136
3,971,0.2,0.6,0.2,-17.571800000000003,3,981,0.2,0.3,0.5,137
3,981,0.2,0.3,0.5,-17.799500000000002,1,989,0.2,0.6,0.2,138
1,989,0.2,0.6,0.2,-17.835800000000003,2,997,0.6,-0.0,0.4,139
2,997,0.6,-0.0,0.4,-19.109600000000004,0,1003,0.1,0.4,0.5,140
0,1003,0.1,0.4,0.5,-18.309500000000003,6,1015,0.5,0.5,-0.0,141
6,1015,0.5,0.5,-0.0,-18.472500000000004,5,1028,0.3,0.2,0.5,142
5,1028,0.3,0.2,0.5,-18.563500000000005,5,1027,0.1,0.7,0.2,143
5,1027,0.1,0.7,0.2,-19.467800000000004,0,1031,0.1,0.6,0.3,144
0,1031,0.1,0.6,0.3,-18.429700000000004,5,1031,0.2,0.7,0.1,145
5,1031,0.2,0.7,0.1,-18.376400000000004,4,1035,0.5,0.2,0.3,146
4,1035,0.5,0.2,0.3,-18.6077,2,1038,0.1,0.2,0.7,147
2,1038,0.1,0.2,0.7,-18.831300000000002,2,1046,0.3,0.5,0.2,148
2,1046,0.3,0.5,0.2,-18.879800000000003,2,1056,0.3,0.6,0.1,149
2,1056,0.3,0.6,0.1,-18.961900000000004,7,1065,0.0,0.4,0.6,150
7,1065,0.0,0.4,0.6,-19.193400000000004,3,1072,0.0,0.5,0.5,151
3,1072,0.0,0.5,0.5,-19.157000000000004,6,1074,0.5,0.4,0.1,152
6,1074,0.5,0.4,0.1,-19.214900000000004,2,1078,0.2,0.3,0.5,153
2,1078,0.2,0.3,0.5,-19.3935,2,1083,0.8,0.1,0.1,154
2,1083,0.8,0.1,0.1,-19.656400000000005,1,1093,0.1,0.6,0.3,155
1,1093,0.1,0.6,0.3,-20.669700000000002,0,1103,0.7,0.3,-0.0,156
0,1103,0.7,0.3,-0.0,-19.904000000000003,5,1111,0.6,0.1,0.3,157
5,1111,0.6,0.1,0.3,-20.296200000000002,3,1124,0.7,0.2,0.1,158
3,1124,0.7,0.2,0.1,-20.411900000000003,1,1131,0.0,0.8,0.2,159
1,1131,0.0,0.8,0.2,-20.3168,3,1140,0.7,0.2,0.1,160
3,1140,0.7,0.2,0.1,-20.751900000000003,6,1151,0.5,0.2,0.3,161
6,1151,0.5,0.2,0.3,-21.995700000000003,0,1161,0.0,0.4,0.6,162
0,1161,0.0,0.4,0.6,-21.052400000000002,7,1166,0.0,0.6,0.4,163
7,1166,0.0,0.6,0.4,-21.187600000000003,7,1180,0.4,0.0,0.6,164
7,1180,0.4,0.0,0.6,-21.3244,3,1173,0.7,0.0,0.3,165
3,1173,0.7,0.0,0.3,-21.5447,7,1183,0.9,0.0,0.1,166
7,1183,0.9,0.0,0.1,-21.8749,4,1198,0.9,0.1,0.0,167
4,1198,0.9,0.1,0.0,-22.084,7,1208,0.3,0.1,0.6,168
7,1208,0.3,0.1,0.6,-22.3419,7,1216,0.4,0.2,0.4,169
7,1216,0.4,0.2,0.4,-22.573600000000003,4,1228,0.4,0.3,0.3,170
4,1228,0.4,0.3,0.3,-22.6397,2,1232,0.1,0.4,0.5,171
2,1232,0.1,0.4,0.5,-22.735500000000002,2,1237,0.8,0.1,0.1,172
2,1237,0.8,0.1,0.1,-22.927400000000002,1,1245,0.2,0.6,0.2,173
1,1245,0.2,0.6,0.2,-23.015800000000002,3,1254,0.4,0.4,0.2,174
3,1254,0.4,0.4,0.2,-23.2648,7,1266,0.8,0.1,0.1,175
7,1266,0.8,0.1,0.1,-23.5709,6,1278,0.6,0.4,-0.0,176
6,1278,0.6,0.4,-0.0,-23.660000000000004,2,1285,0.5,0.4,0.1,177
2,1285,0.5,0.4,0.1,-23.7559,7,1290,0.3,0.3,0.4,178
7,1290,0.3,0.3,0.4,-24.9631,0,1298,0.2,0.5,0.3,179
0,1298,0.2,0.5,0.3,-24.974700000000006,0,1302,0.2,0.1,0.7,180
0,1302,0.2,0.1,0.7,-24.364800000000002,7,1315,0.3,0.2,0.5,181
7,1315,0.3,0.2,0.5,-24.5595,6,1325,0.0,0.3,0.7,182
6,1325,0.0,0.3,0.7,-25.678300000000004,0,1330,0.6,0.1,0.3,183
0,1330,0.6,0.1,0.3,-24.7712,4,1334,0.3,0.4,0.3,184
4,1334,0.3,0.4,0.3,-24.9067,1,1342,0.0,0.8,0.2,185
1,1342,0.0,0.8,0.2,-24.852800000000002,6,1347,0.8,0.2,-0.0,186
6,1347,0.8,0.2,-0.0,-25.066000000000003,4,1354,0.3,0.3,0.4,187
4,1354,0.3,0.3,0.4,-25.3626,6,1367,0.3,0.3,0.4,188
6,1367,0.3,0.3,0.4,-25.3691,5,1367,0.2,0.4,0.4,189
5,1367,0.2,0.4,0.4,-25.486600000000003,5,1374,0.2,0.0,0.8,190
5,1374,0.2,0.0,0.8,-25.7942,5,1383,0.1,0.7,0.2,191
5,1383,0.1,0.7,0.2,-25.8898,5,1397,0.2,0.4,0.4,192
5,1397,0.2,0.4,0.4,-25.845600000000005,5,1393,0.2,0.1,0.7,193
5,1393,0.2,0.1,0.7,-26.006800000000002,2,1396,0.5,0.4,0.1,194
2,1396,0.5,0.4,0.1,-26.1509,6,1408,0.3,0.3,0.4,195
6,1408,0.3,0.3,0.4,-26.2556,2,1411,0.6,0.4,-0.0,196
2,1411,0.6,0.4,-0.0,-26.374000000000002,1,1420,0.4,0.4,0.2,197
1,1420,0.4,0.4,0.2,-26.579800000000002,7,1430,0.0,0.7,0.3,198
7,1430,0.0,0.7,0.3,-27.746200000000005,0,1444,0.1,0.4,0.5,199
0,1444,0.1,0.4,0.5,-26.738500000000002,6,1441,0.8,0.1,0.1,200
6,1441,0.8,0.1,0.1,-26.9269,6,1448,0.2,-0.0,0.8,201
6,1448,0.2,-0.0,0.8,-27.159200000000002,7,1453,0.1,0.7,0.2,202
7,1453,0.1,0.7,0.2,-27.1903,7,1465,0.1,0.3,0.6,203
7,1465,0.1,0.3,0.6,-27.210400000000003,1,1461,0.2,0.7,0.1,204
1,1461,0.2,0.7,0.1,-27.1354,2,1467,0.1,0.5,0.4,205
2,1467,0.1,0.5,0.4,-27.4246,6,1480,0.6,0.4,0.0,206
6,1480,0.6,0.4,0.0,-28.632,0,1492,0.3,0.0,0.7,207
0,1492,0.3,0.0,0.7,-28.8393,0,1492,0.2,0.6,0.2,208
0,1492,0.2,0.6,0.2,-27.7838,2,1500,0.6,-0.0,0.4,209
2,1500,0.6,-0.0,0.4,-28.239600000000003,6,1513,0.3,0.1,0.6,210
6,1513,0.3,0.1,0.6,-28.5619,4,1527,0.6,0.2,0.2,211
4,1527,0.6,0.2,0.2,-28.733800000000002,1,1537,0.4,0.5,0.1,212
1,1537,0.4,0.5,0.1,-28.794900000000002,4,1544,0.3,0.4,0.3,213
4,1544,0.3,0.4,0.3,-29.013700000000004,6,1554,0.3,0.1,0.6,214
6,1554,0.3,0.1,0.6,-29.1839,5,1557,0.3,0.6,0.1,215
5,1557,0.3,0.6,0.1,-29.1579,3,1564,0.6,0.1,0.3,216
3,1564,0.6,0.1,0.3,-29.428700000000003,7,1571,0.1,0.2,0.7,217
7,1571,0.1,0.2,0.7,-29.6613,6,1580,0.6,0.4,0.0,218
6,1580,0.6,0.4,0.0,-29.700000000000003,6,1587,0.1,0.3,0.6,219
6,1587,0.1,0.3,0.6,-29.855900000000002,1,1591,0.3,0.6,0.1,220
1,1591,0.3,0.6,0.1,-29.813900000000004,5,1596,0.9,-0.0,0.1,221
5,1596,0.9,-0.0,0.1,-30.1849,4,1608,0.2,0.0,0.8,222
4,1608,0.2,0.0,0.8,-31.4642,0,1616,0.6,0.2,0.2,223
0,1616,0.6,0.2,0.2,-30.6018,2,1625,0.3,0.5,0.2,224
2,1625,0.3,0.5,0.2,-31.799800000000005,0,1637,0.5,0.3,0.2,225
0,1637,0.5,0.3,0.2,-30.954300000000003,4,1644,0.9,0.1,-0.0,226
4,1644,0.9,0.1,-0.0,-31.220000000000002,6,1656,0.2,0.7,0.1,227
6,1656,0.2,0.7,0.1,-31.296400000000002,7,1664,0.6,0.3,0.1,228
7,1664,0.6,0.3,0.1,-31.284900000000004,1,1662,0.7,0.2,0.1,229
1,1662,0.7,0.2,0.1,-31.433900000000005,7,1668,0.8,0.2,-0.0,230
7,1668,0.8,0.2,-0.0,-31.548000000000002,5,1673,0.1,0.6,0.3,231
5,1673,0.1,0.6,0.3,-31.689700000000002,5,1682,0.8,0.0,0.2,232
5,1682,0.8,0.0,0.2,-31.8398,1,1686,0.3,0.4,0.3,233
1,1686,0.3,0.4,0.3,-32.035700000000006,4,1696,0.0,0.5,0.5,234
4,1696,0.0,0.5,0.5,-32.157000000000004,1,1703,0.2,0.4,0.4,235
1,1703,0.2,0.4,0.4,-32.2566,7,1709,0.6,0.4,-0.0,236
7,1709,0.6,0.4,-0.0,-32.443000000000005,2,1721,0.1,0.7,0.2,237
2,1721,0.1,0.7,0.2,-32.4328,3,1725,0.4,0.2,0.4,238
3,1725,0.4,0.2,0.4,-32.6316,5,1730,0.1,0.3,0.6,239
5,1730,0.1,0.3,0.6,-32.828900000000004,4,1739,0.1,0.2,0.7,240
4,1739,0.1,0.2,0.7,-33.0313,4,1747,0.6,0.3,0.1,241
4,1747,0.6,0.3,0.1,-34.1119,0,1754,0.1,0.6,0.3,242
0,1754,0.1,0.6,0.3,-33.1497,2,1759,0.3,0.2,0.5,243
2,1759,0.3,0.2,0.5,-34.4735,0,1771,0.6,0.3,0.1,244
0,1771,0.6,0.3,0.1,-33.6124,3,1780,0.3,0.6,0.1,245
3,1780,0.3,0.6,0.1,-34.6859,0,1788,0.2,0.3,0.5,246
0,1788,0.2,0.3,0.5,-33.846500000000006,7,1792,0.3,0.0,0.7,247
7,1792,0.3,0.0,0.7,-34.2693,6,1808,0.0,0.7,0.3,248
6,1808,0.0,0.7,0.3,-34.27420000000001,7,1817,0.6,0.3,0.1,249
7,1817,0.6,0.3,0.1,-34.26690000000001,1,1815,0.1,0.7,0.2,250
1,1815,0.1,0.7,0.2,-34.1593,4,1816,0.2,0.2,0.6,251
4,1816,0.2,0.2,0.6,-34.4454,2,1823,0.0,0.3,0.7,252
2,1823,0.0,0.3,0.7,-34.6473,6,1833,0.1,0.8,0.1,253
6,1833,0.1,0.8,0.1,-35.5919,0,1843,0.9,0.0,0.1,254
0,1843,0.9,0.0,0.1,-34.7099,6,1838,0.8,0.1,0.1,255
6,1838,0.8,0.1,0.1,-34.9724,2,1850,0.2,0.3,0.5,256
2,1850,0.2,0.3,0.5,-35.1135,1,1856,0.4,0.1,0.5,257
1,1856,0.4,0.1,0.5,-35.296,7,1862,0.1,0.8,0.1,258
7,1862,0.1,0.8,0.1,-35.310900000000004,7,1874,0.0,0.6,0.4,259
7,1874,0.0,0.6,0.4,-35.207600000000006,3,1869,0.6,0.2,0.2,260
3,1869,0.6,0.2,0.2,-35.1498,7,1862,0.2,0.6,0.2,261
7,1862,0.2,0.6,0.2,-35.155800000000006,2,1869,0.3,0.4,0.3,262
2,1869,0.3,0.4,0.3,-35.0947,1,1864,0.1,0.5,0.4,263
1,1864,0.1,0.5,0.4,-35.244600000000005,3,1874,0.1,0.1,0.8,264
3,1874,0.1,0.1,0.8,-35.5827,1,1882,0.1,0.8,0.1,265
1,1882,0.1,0.8,0.1,-35.4169,1,1891,0.4,0.2,0.4,266
1,1891,0.4,0.2,0.4,-35.76160000000001,3,1897,0.2,0.3,0.5,267
3,1897,0.2,0.3,0.5,-35.911500000000004,6,1905,0.2,0.6,0.2,268
6,1905,0.2,0.6,0.2,-36.939800000000005,0,1915,0.8,0.1,0.1,269
0,1915,0.8,0.1,0.1,-36.1984,3,1919,0.0,0.3,0.7,270
3,1919,0.0,0.3,0.7,-36.3713,1,1927,0.1,0.6,0.3,271
1,1927,0.1,0.6,0.3,-36.2897,2,1932,0.2,0.4,0.4,272
2,1932,0.2,0.4,0.4,-36.485600000000005,6,1939,0.1,0.5,0.4,273
6,1939,0.1,0.5,0.4,-36.637100000000004,7,1950,0.3,0.0,0.7,274
7,1950,0.3,0.0,0.7,-37.944300000000005,0,1953,0.0,0.7,0.3,275
0,1953,0.0,0.7,0.3,-36.7717,6,1961,0.5,0.3,0.2,276
6,1961,0.5,0.3,0.2,-37.0443,7,1968,0.2,0.6,0.2,277
7,1968,0.2,0.6,0.2,-36.939800000000005,6,1971,0.3,0.5,0.2,278
6,1971,0.3,0.5,0.2,-36.81980000000001,2,1965,0.2,0.0,0.8,279
2,1965,0.2,0.0,0.8,-37.2092,1,1969,0.1,0.7,0.2,280
1,1969,0.1,0.7,0.2,-36.9513,4,1976,0.2,0.1,0.7,281
4,1976,0.2,0.1,0.7,-37.462300000000006,7,1985,0.2,0.3,0.5,282
7,1985,0.2,0.3,0.5,-37.595,6,1996,0.0,0.3,0.7,283
6,1996,0.0,0.3,0.7,-37.68130000000001,6,1999,0.4,0.5,0.1,284
6,1999,0.4,0.5,0.1,-37.5724,4,2002,0.3,0.1,0.6,285
4,2002,0.3,0.1,0.6,-37.7744,2,2000,0.1,0.6,0.3,286
2,2000,0.1,0.6,0.3,-37.6657,5,2008,0.4,0.1,0.5,287
5,2008,0.4,0.1,0.5,-38.159,3,2020,0.0,0.7,0.3,288
3,2020,0.0,0.7,0.3,-38.032700000000006,2,2030,0.9,0.1,-0.0,289
2,2030,0.9,0.1,-0.0,-38.4275,2,2037,0.5,0.4,0.1,290
2,2037,0.5,0.4,0.1,-38.450900000000004,1,2044,0.3,0.5,0.2,291
1,2044,0.3,0.5,0.2,-39.5448,0,2052,0.2,0.6,0.2,292
0,2052,0.2,0.6,0.2,-38.6598,7,2063,0.0,0.5,0.5,293
7,2063,0.0,0.5,0.5,-38.977000000000004,6,2077,0.4,0.2,0.4,294
6,2077,0.4,0.2,0.4,-40.21360000000001,0,2081,0.3,0.3,0.4,295
0,2081,0.3,0.3,0.4,-39.3346,7,2089,0.3,0.6,0.1,296
7,2089,0.3,0.6,0.1,-39.3659,5,2102,0.6,0.3,0.1,297
5,2102,0.6,0.3,0.1,-39.4794,5,2100,0.2,0.4,0.4,298
5,2100,0.2,0.4,0.4,-39.6666,2,2111,0.5,0.1,0.4,299
2,2111,0.5,0.1,0.4,-39.973600000000005,7,2117,0.5,0.2,0.3,300
7,2117,0.5,0.2,0.3,-39.981700000000004,6,2119,0.4,0.1,0.5,301
6,2119,0.4,0.1,0.5,-40.264,1,2128,0.0,0.3,0.7,302
1,2128,0.0,0.3,0.7,-40.389300000000006,6,2137,0.2,0.8,0.0,303
6,2137,0.2,0.8,0.0,-40.214000000000006,4,2148,0.7,0.3,-0.0,304
4,2148,0.7,0.3,-0.0,-40.4155,3,2146,0.2,0.3,0.5,305
3,2146,0.2,0.3,0.5,-40.67150000000001,4,2156,0.0,0.6,0.4,306
4,2156,0.0,0.6,0.4,-40.619600000000005,7,2164,0.2,0.5,0.3,307
7,2164,0.2,0.5,0.3,-40.7022,3,2168,0.6,0.3,0.1,308
3,2168,0.6,0.3,0.1,-40.813900000000004,3,2169,0.0,0.6,0.4,309
3,2169,0.0,0.6,0.4,-40.7436,2,2175,0.5,0.5,0.0,310
2,2175,0.5,0.5,0.0,-40.88250000000001,5,2183,0.5,0.2,0.3,311
5,2183,0.5,0.2,0.3,-41.3517,4,2195,0.3,0.2,0.5,312
4,2195,0.3,0.2,0.5,-42.5555,0,2203,0.1,0.5,0.4,313
0,2203,0.1,0.5,0.4,-41.44460000000001,7,2208,0.4,0.3,0.3,314
7,2208,0.4,0.3,0.3,-41.83520000000001,1,2222,0.2,0.2,0.6,315
1,2222,0.2,0.2,0.6,-43.125400000000006,0,2231,0.1,0.3,0.6,316
0,2231,0.1,0.3,0.6,-42.257400000000004,5,2240,0.1,0.8,0.1,317
5,2240,0.1,0.8,0.1,-42.011900000000004,7,2250,0.3,0.4,0.3,318
